name,city,state,latitude,longitude,announced_year,mw_estimated,provider
Google-Cloud-Dallas,Dallas,TX,32.7767,-96.7970,2022,350,Google
Google-Cloud-Austin,Austin,TX,30.2672,-97.7431,2023,420,Google
Google-Cloud-Houston,Houston,TX,29.7604,-95.3698,2024,500,Google
Google-Cloud-Chicago,Chicago,IL,41.8781,-87.6298,2022,380,Google
Google-Cloud-Atlanta,Atlanta,GA,33.7490,-84.3880,2023,360,Google
Google-Cloud-Phoenix,Phoenix,AZ,33.4484,-112.0740,2024,640,Google
Google-Cloud-Miami,Miami,FL,25.7617,-80.1918,2024,530,Google
Google-Cloud-LosAngeles,Los Angeles,CA,34.0522,-118.2437,2023,600,Google
Google-Cloud-Denver,Denver,CO,39.7392,-104.9903,2024,450,Google
Google-Cloud-NewYork,New York,NY,40.7128,-74.0060,2024,590,Google
AWS-Ohio,Columbus,OH,39.9612,-82.9988,2021,500,AWS
AWS-Nashville,Nashville,TN,36.1627,-86.7816,2023,620,AWS
AWS-Virginia,Ashburn,VA,39.0438,-77.4874,2022,700,AWS
AWS-Phoenix,Phoenix,AZ,33.4484,-112.0740,2024,650,AWS
AWS-Seattle,Seattle,WA,47.6062,-122.3321,2024,580,AWS
AWS-Chicago,Chicago,IL,41.8781,-87.6298,2024,610,AWS
AWS-LosAngeles,Los Angeles,CA,34.0522,-118.2437,2023,670,AWS
AWS-Houston,Houston,TX,29.7604,-95.3698,2024,710,AWS
AWS-SanAntonio,San Antonio,TX,29.4241,-98.4936,2024,540,AWS
AWS-Miami,Miami,FL,25.7617,-80.1918,2024,560,AWS
Meta-Atlanta,Atlanta,GA,33.7490,-84.3880,2022,400,Meta
Meta-Huntsville,Huntsville,AL,34.7304,-86.5861,2023,580,Meta
Meta-KansasCity,Kansas City,MO,39.0997,-94.5786,2024,520,Meta
Meta-Denver,Denver,CO,39.7392,-104.9903,2024,430,Meta
Meta-PaloAlto,Palo Alto,CA,37.4419,-122.1430,2024,610,Meta
Meta-Chicago,Chicago,IL,41.8781,-87.6298,2024,590,Meta
Meta-Dallas,Dallas,TX,32.7767,-96.7970,2024,630,Meta
Meta-Seattle,Seattle,WA,47.6062,-122.3321,2024,570,Meta
Meta-NewYork,New York,NY,40.7128,-74.0060,2024,610,Meta
Meta-Detroit,Detroit,MI,42.3314,-83.0458,2024,480,Meta
Meta-SanFrancisco,San Francisco,CA,37.7749,-122.4194,2024,620,Meta
Microsoft-SanAntonio,San Antonio,TX,29.4241,-98.4936,2020,560,Microsoft
Microsoft-Phoenix,Phoenix,AZ,33.4484,-112.0740,2023,510,Microsoft
Microsoft-Chicago,Chicago,IL,41.8781,-87.6298,2023,540,Microsoft
Microsoft-Columbus,Columbus,OH,39.9612,-82.9988,2024,610,Microsoft
Microsoft-Seattle,Seattle,WA,47.6062,-122.3321,2023,590,Microsoft
Microsoft-Austin,Austin,TX,30.2672,-97.7431,2024,650,Microsoft
Microsoft-Houston,Houston,TX,29.7604,-95.3698,2024,620,Microsoft
Microsoft-Atlanta,Atlanta,GA,33.7490,-84.3880,2024,580,Microsoft
Microsoft-Miami,Miami,FL,25.7617,-80.1918,2024,560,Microsoft
Microsoft-LosAngeles,Los Angeles,CA,34.0522,-118.2437,2024,640,Microsoft
Microsoft-Denver,Denver,CO,39.7392,-104.9903,2024,600,Microsoft
